贔屓,﻿贔屓[ひいき],favour; favor; patronage; favouritism; favoritism; partiality<br>favourite; favorite<br>patron; supporter; backer<br>Bixi (tortoise)<br>贔負 【ひいき】,,,scraped
激しい,激[はげ]しい,violent; furious; tempestuous<br>extreme; intense; fierce; strong<br>fervent; vehement<br>incessant; relentless<br>precipitous; steep,,,scraped
鞦韆,鞦韆[ぶらんこ],swing; trapeze<br>Swing (seat)<br>ブランコ,,,scraped
加護,加護[かご],divine protection,,,scraped
修行僧,修行僧[しゅぎょうそう],ascetic monk; trainee monk,,,scraped
皇帝,皇帝[こうてい],emperor<br>Emperor<br>皇帝 【おうだい】,,,scraped
血相,血相[けっそう],expression; looks,,,scraped
季節,季節[きせつ],season; time of year<br>Season,,,scraped
真鍮,真鍮[しんちゅう],brass,,,scraped
何て,何[なん]て,how ...!; what ...!<br>what?; what's that?,,,scraped
鋼鉄,鋼鉄[こうてつ],steel,,,scraped
隊商,隊商[たいしょう],caravan (of merchants),,,scraped
路銀,路銀[ろぎん],traveling expenses; travelling expenses,,,scraped
届く,届[とど]く,to reach; to touch; to get to; to carry (of sound)<br>to be delivered; to arrive<br>to be attentive; to be scrupulous; to be thorough<br>to be realized (of a desire); to be fulfilled; to get through (to someone); to be appreciated; to make an impression,,,scraped
炭,炭[すみ],charcoal<br>charred remains,,,scraped
同席,同席[どうせき],"being present (at the same meeting, occasion, etc.); attendance (with); sitting with; sitting next to<br>same (seating) precedence; same rank",,,scraped
何だかんだ,何[なん]だかんだ,,,,scraped
沿岸,沿岸[えんがん],coast; shore; littoral,,,scraped
足し,足[た]し,supplement; top up; complement; making up (a deficiency),,,scraped
預かる,預[あず]かる,to look after; to take care of; to keep; to hold on to; to keep in custody<br>to be put in charge of; to be given responsibility for; to be entrusted with<br>to withhold (an announcement); to reserve (judgment); to leave undecided<br>to take upon oneself (to do); to settle (a matter) oneself,,,scraped
兼,兼[けん],cum (e.g. bedroom-cum-study); and (concurrently; e.g. chauffeur and secretary); in addition to; at the same time,,,scraped
頑固,頑固[がんこ],stubborn; obstinate; pigheaded,,,scraped
