重量,重量[じゅうりょう],heavyweight,,,
重力,重力[じゅうりょく],gravity,,,
熟語,熟語[じゅくご],"idiom, kanji compound",,,
祝日,祝日[しゅくじつ],national holiday,,,
受験,受験[じゅけん],taking an examination,,,
主語,主語[しゅご],(gram) subject,,,
主人,主人[しゅじん],(one's own) husband,,,
出勤,出勤[しゅっきん],"going to work, at work",,,
述語,述語[じゅつご],predicate,,,
寿命,寿命[じゅみょう],life span,,,
主役,主役[しゅやく],leading part,,,
循環,循環[じゅんかん],"circulation, rotation, cycle",,,
巡査,巡査[じゅんさ],policeman,,,
順々,順々[じゅんじゅん],"in order, in turn",,,
順序,順序[じゅんじょ],"order, sequence, procedure",,,
純情,純情[じゅんじょう],pure heart,,,
女～,女～[じょ～],things done by women,,,
～女,～女[～じょ],count for sisters,,,
省～,省～[しょう～],economizing ~,,,
～商,～商[～しょう],"merchant, business",,,
～勝,～勝[～しょう],count for victory,,,
～条,～条[～じょう],counter for article,,,
～畳,～畳[～じょう],"count for tatami, mat",,,
小学生,小学生[しょうがくせい],elementary school pupil,,,
しょうがない,しょうがない,It is not worth ~,,,
蒸気,蒸気[じょうき],"steam, vapor",,,
定規,定規[じょうぎ],(measuring) ruler,,,
上級,上級[じょうきゅう],"advanced level, high grade, senior",,,
上下,上下[じょうげ],"high and low, up and down",,,
障子,障子[しょうじ],paper sliding door,,,
商社,商社[しょうしゃ],trading company,,,
小数,小数[しょうすう],"fraction (part of), decimal",,,
焦点,焦点[しょうてん],"focus, point",,,
蒸発,蒸発[じょうはつ],evaporation; unexplained disappearance,,,
上品,上品[じょうひん],"refined, elegant, well-mannered",,,
小便,小便[しょうべん],"(col) urine, piss",,,
正味,正味[しょうみ],net (weight),,,
正面,正面[しょうめん],front,,,
消耗,消耗[しょうもう],"exhaustion, consumption",,,
初級,初級[しょきゅう],elementary level,,,
助教授,助教授[じょきょうじゅ],assistant professor,,,
～色,～色[～しょく],kind of color,,,
食塩,食塩[しょくえん],table salt,,,
職人,職人[しょくにん],"artisan, craftsman",,,
食器,食器[しょっき],tableware,,,
ショップ,ショップ,a shop,,,
書店,書店[しょてん],bookshop,,,
書道,書道[しょどう],calligraphy,,,
シリーズ,シリーズ,series,,,
私立,私立[しりつ],private (establishment),,,
資料,資料[しりょう],"materials, data",,,
汁,汁[しる],"juice, soup",,,
素人,素人[しろうと],"layman, amateur, novice",,,
しわ (かおの～),しわ (かおの～),"wrinkles, creases",,,
芯,芯[しん],"core, heart, wick",,,
新幹線,新幹線[しんかんせん],"Shinkansen, ""Bullet Train""",,,
人事,人事[じんじ],"human resources, personnel management",,,
信ずる,信[しん]ずる,to believe,,,
心身,心身[しんしん],mind and body,,,
人造,人造[じんぞう],"man-made, synthetic, artificial",,,
寝台,寝台[しんだい],bed,,,
人文科学,人文科学[じんぶんかがく],"social sciences, humanities",,,
人命,人命[じんめい],(human) life,,,
針路,針路[しんろ],"course, direction",,,
神話,神話[しんわ],"myth, legend",,,
水産,水産[すいさん],"marine products, fisheries",,,
水蒸気,水蒸気[すいじょうき],"water vapor, steam",,,
水素,水素[すいそ],hydrogen,,,
推定,推定[すいてい],"presumption, assumption, estimation",,,
水滴,水滴[すいてき],drop of water,,,
水筒,水筒[すいとう],"canteen, flask, water bottle",,,
水分,水分[すいぶん],moisture,,,
水平,水平[すいへい],"level, horizontal",,,
水面,水面[すいめん],water's surface,,,
図々しい,図々[ずうずう]しい,"impudent, shameless",,,
ずうっと,ずうっと,"all the time, all the way",,,
スカーフ,スカーフ,scarf,,,
図鑑,図鑑[ずかん],picture book,,,
隙,隙[すき],"unguarded moment, chance",,,
透き通る,透[すきとお]き通る,to be(come) transparent,,,
隙間,隙間[すきま],"crack, gap, opening<br>spare moment, free time",,,
～過ぎる,～ 過[す]ぎる,too much ~,,,
スクール,スクール,school,,,
鈴,鈴[すず],bell,,,
スタート,スタート,start,,,
スチュワーデス,スチュワーデス,stewardess,,,
すっきり,すっきり,"shapely, clear, neat",,,
ストッキング,ストッキング,stockings,,,
ストップ,ストップ,stop,,,
素直,素直[すなお],"obedient, meek, docile<br>honest, frank",na,,
スピーカー,スピーカー,speaker,,,
図表,図表[ずひょう],"chart, diagram, graph",,,
スマート,スマート,"smart, stylish, slim",,,
住まい,住[す]まい,"dwelling, house",,,
すまない,すまない,sorry (phrase),,,
～済,～済[～ずみ],finished,,,
相撲,相撲[すもう],sumo wrestling,,,
スライド,スライド,slide,,,
ずらす,ずらす,"to put off, to delay",,,
ずらり,ずらり,"in a line, in a row",,,
スリッパ,スリッパ,slippers,,,
狡い,狡[ずる]い,"sly, cunning",,,
寸法,寸法[すんぽう],"measurement, size, dimension",,,
清書,清書[せいしょ],clean copy,,,
青少年,青少年[せいしょうねん],"youth, young person",,,
整数,整数[せいすう],integer,,,
清掃,清掃[せいそう],cleaning,,,
生存,生存[せいぞん],"existence, being, survival",,,
政党,政党[せいとう],(member of) political party,,,
性別,性別[せいべつ],"sex, gender",,,
正門,正門[せいもん],"main gate, main entrance",,,
成立,成立[せいりつ],"formation, establishment, completion",,,
西暦,西暦[せいれき],"Christian Era, after (Christ’s) death (A.D.)",,,
～席,～席[～せき],counter for seats,,,
赤道,赤道[せきどう],equator,,,
折角,折角[せっかく],"with trouble, at great pains, long-awaited",,,
接近,接近[せっきん],"getting closer, drawing nearer, approaching",,,
接する,接[せっ]する,to attend to (someone); to associate with,,,
瀬戸物,瀬戸物[せともの],"earthenware, crockery, china",,,
ぜひとも,ぜひとも,by all means (with sense of not taking 'no' for an answer),,,
セメント,セメント,cement,,,
台詞,台詞[せりふ],"speech, words, one's lines, remarks",,,
～船,～船[～せん],counter for ships,,,
～戦,～戦[～せん],"counter for games, matches",,,
～前,～前[～ぜん],before ~,,,
全集,全集[ぜんしゅう],complete works,,,
扇子,扇子[せんす],folding fan,,,
専制,専制[せんせい],"despotism, autocracy",,,
先々月,先々月[せんせんげつ],month before last,,,
先々週,先々週[せんせんしゅう],2 weeks before,,,
センチ,センチ,centimeter,,,
先頭,先頭[せんとう],"head, lead, vanguard",,,
全般,全般[ぜんぱん],"(the) whole, general",,,
扇風機,扇風機[せんぷうき],electric fan,,,
洗面,洗面[せんめん],"wash up (one's face), have a wash",,,
全力,全力[ぜんりょく],"all one's power, whole energy",,,
～艘,～艘[～そう],counter for ships,,,
相違,相違[そうい],"difference, discrepancy, variation",,,
そういえば,そういえば,which reminds me ..,,,
雑巾,雑巾[ぞうきん],"house-cloth, dust cloth",,,
増減,増減[ぞうげん],"increase and decrease, fluctuation",,,
相互,相互[そうご],"mutual, reciprocal",,,
造船,造船[ぞうせん],shipbuilding,,,
騒々しい,騒々[そうぞう]しい,"noisy, boisterous",,,
そうっと,そうっと,"softly, cautiously, gently",,,
送別,送別[そうべつ],"farewell, send-off",,,
草履,草履[ぞうり],Japanese sandals (footwear),,,
総理大臣,総理大臣[そうりだいじん],Prime Minister,,,
送料,送料[そうりょう],"postage, carriage",,,
～足,～足[～そく],counter for shoes,,,
属する,属[ぞく]する,"to belong to, to come under",,,
速達,速達[そくたつ],"express, special delivery",,,
測量,測量[そくりょう],"measurement, surveying",,,
速力,速力[そくりょく],speed,,,
卒直,卒直[そっちょく],"frank, candid, honest",,,
そのころ,そのころ,"in those days, at that time, then",,,
そのため,そのため,"hence, for that reason",,,
その他,その 他[ほか],besides,,,
剃る,剃[そ]る,to shave,,,
それなのに,それなのに,"though, although",,,
それなら,それなら,"If that's the case..., If so..., That being the case...",,,
それはいけませんね (かん),それはいけませんね (かん),that's not good,,,
逸れる,逸[そ]れる,"to stray (turn) from subject, to go astray",,,
存じる,存[ぞん]じる,(humble) to know,,,
田ぼ,田[たん]ぼ,"paddy field, farm",,,
第～,第～[だい～],~th,,,
だいいち (とりわけ),だいいち (とりわけ),"first, foremost,&nbsp;&nbsp;#1",,,
大工,大工[だいく],carpenter,,,
体系,体系[たいけい],"system, organization",,,
太鼓,太鼓[たいこ],"drum, tambourine",,,
対策,対策[たいさく],"counter-plan, counter-measure",,,
大小,大小[だいしょう],size,,,
体制,体制[たいせい],"order, system, structure",,,
大層,大層[たいそう],"very much, greatly",,,
体操,体操[たいそう],"gymnastics, physical exercises, calisthenics",,,
大分,大分[だいぶん],"considerably, greatly, a lot",,,
大木,大木[たいぼく],large tree,,,
代名詞,代名詞[だいめいし],pronoun,,,
タイア,タイア,"tire, tyre",,,
ダイヤグラム,ダイヤグラム,diagram,,,
ダイヤモンド,ダイヤモンド,diamond,,,
ダイヤル,ダイヤル,dial,,,
田植え,田植[たう]え,rice planting,,,
楕円,楕円[だえん],ellipse,,,
竹,竹[たけ],bamboo,,,
ただいま,ただいま,"Here I am, I'm home!",,,
但し,但[ただ]し,"but, however, provided that",,,
立ち止まる,立[たちど]ち止まる,"to stop, to halt, to stand still",,,
発,発[はつ],"to depart (e.g., on a plane, train)",,,
脱線,脱線[だっせん],"derailment, digression",,,
例える,例[たと]える,"to compare, to liken",,,
ダブル,ダブル,double,,,
ダム,ダム,dam,,,
溜息,溜息[ためいき],a sigh,,,
ためらう,ためらう,to be hesitant,,,
～だらけ,～だらけ,"be full of ~, be filled with ~",,,
足る,足[た]る,"to be sufficient, to be enough",,,
～団,～団[～だん],"group, corps, party",,,
オーケストラ,オーケストラ,orchestra,,,
おおざっぱ,おおざっぱ,"rough (not precise), broad, sketchy",,,
オートメーション,オートメーション,automation,,,
大凡,大凡[おおよそ],"about, approximately",,,
お帰り,お 帰[かえ]り,"return, welcome",,,
おかけください,おかけください,please sit down,,,
おかげさまで,おかげさまで,"Thanks to god, thanks to you",,,
おかず,おかず,"side dish, accompaniment for rice dishes",,,
おかまいなく,おかまいなく,please don't fuss over me,,,
拝む,拝[おが]む,"to worship, to pray",,,
お代わり,お 代[か]わり,"second helping, another cup",,,
お気の毒に,お 気[きのどく]の毒に,I'm sorry to hear that…,,,
屋外,屋外[おくがい],outdoors,,,
送り仮名,送[おくりがな]り仮名[おくりがな],part of word written in kana,,,
お元気で,お 元気[げんき]で,Take care',,,
怠る,怠[おこた]る,"to neglect, to fail",,,
お先に,お 先[さき]に,"before, after you",,,
伯父,伯父[おじ],(humble) uncle (older than one's parent),,,
叔父,叔父[おじ],uncle (younger than one's parent),,,
惜しい,惜[お]しい,"regrettable, disappointing",,,
伯父さん,伯父[おじ]さん,"(hon.) middle-aged gentleman, uncle",,older than parent,
小父さん,小父[おじ]さん,"(hon.) middle-aged gentleman, uncle",,nonrelative,
叔父さん,叔父[おじ]さん,"(hon.) middle-aged gentleman, uncle",,younger than parant,
お邪魔します,お 邪魔[じゃま]します,Excuse me for disturbing you,,,
お世話になりました,お 世話[せわ]になりました,I've been in your care,,,
お大事に,お 大事[だいじ]に,"Take care of yourself, Take care!, Get well soon",,,
落着く,落着[おちつ]く,"to calm down, to settle down",,,
お出掛け,お 出掛[でか]け,outing,,,
お手伝いさん,お 手伝[てつだ]いさん,maid,,,
脅かす,脅[おど]かす,"to threaten, to coerce",,,
落し物,落[おとしもの]し物[おとしもの],lost property,,,
驚かす,驚[おどろ]かす,"to surprise, to frighten",,,
お願いします,お 願[ねが]いします,"Please (lit., I request)",,,
伯母,伯母[おば],(humble) aunt (older than one's parent),,,
叔母,叔母[おば],aunt (younger than one's parent),,,
小母さん,小母[おば]さん,"lady, woman, ma'am",,,
おはよう,おはよう,(abbr.) Good morning,,,
お参り,お 参[まい]り,"worship, shrine visit",,,
お待たせしました,お 待[ま]たせしました,Sorry to have kept you waiting,,,
